"type","hindi","english","target","category_or_speaker","status","language","notes_for_speaker"
"word","एक","one","मियद","number","check","ho","Starter word — please confirm or correct"
"word","दो","two","बरिया","number","check","ho","Starter word — please confirm or correct"
"word","तीन","three","आपिया","number","check","ho","Starter word — please confirm or correct"
"word","चार","four","उपुनिया","number","check","ho","Starter word — please confirm or correct"
"word","पाँच","five","मोंड़ेया","number","check","ho","Starter word — please confirm or correct"
"word","छह","six","तुरुइया","number","check","ho","Starter word — please confirm or correct"
"word","सात","seven","एया","number","check","ho","Starter word — please confirm or correct"
"word","आठ","eight","इरिलिया","number","check","ho","Starter word — please confirm or correct"
"word","नौ","nine","आरेया","number","check","ho","Starter word — please confirm or correct"
"word","दस","ten","गेलेया","number","check","ho","Starter word — please confirm or correct"
"word","संख्या","number","","number","missing","ho","Please add the Ho word"
"word","गिनती","counting","","number","missing","ho","Please add the Ho word"
"word","कुत्ता","dog","सेता","animal","check","ho","Starter word — please confirm or correct"
"word","बिल्ली","cat","पुसि","animal","check","ho","Starter word — please confirm or correct"
"word","गाय","cow","","animal","missing","ho","Please add the Ho word"
"word","घोड़ा","horse","सादोम","animal","check","ho","Starter word — please confirm or correct"
"word","बकरी","goat","मेरोम","animal","check","ho","Starter word — please confirm or correct"
"word","मुर्गी","hen","सिम","animal","check","ho","Starter word — please confirm or correct"
"word","चिड़िया","bird","","animal","missing","ho","Please add the Ho word"
"word","मछली","fish","","animal","missing","ho","Please add the Ho word"
"word","खरगोश","rabbit","कुलै","animal","check","ho","Starter word — please confirm or correct"
"word","तितली","butterfly","","animal","missing","ho","Please add the Ho word"
"word","कीड़ा","insect","","animal","missing","ho","Please add the Ho word"
"word","हाथी","elephant","हाती","animal","check","ho","Starter word — please confirm or correct"
"word","बाघ","tiger","कुला","animal","check","ho","Starter word — please confirm or correct"
"word","जानवर","animal","","animal","missing","ho","Please add the Ho word"
"word","पानी","water","दाः","nature","check","ho","Starter word — please confirm or correct"
"word","सूरज","sun","सिङगि","nature","check","ho","Starter word — please confirm or correct"
"word","चाँद","moon","चांडु","nature","check","ho","Starter word — please confirm or correct"
"word","तारा","star","","nature","missing","ho","Please add the Ho word"
"word","पेड़","tree","दारु","nature","check","ho","Starter word — please confirm or correct"
"word","फूल","flower","बा","nature","check","ho","Starter word — please confirm or correct"
"word","पत्ता","leaf","सकम","nature","check","ho","Starter word — please confirm or correct"
"word","पौधा","plant","","nature","missing","ho","Please add the Ho word"
"word","पत्थर","stone","दिरि","nature","check","ho","Starter word — please confirm or correct"
"word","बादल","cloud","","nature","missing","ho","Please add the Ho word"
"word","बारिश","rain","","nature","missing","ho","Please add the Ho word"
"word","पहाड़","hill","बुरु","nature","check","ho","Starter word — please confirm or correct"
"word","नदी","river","","nature","missing","ho","Please add the Ho word"
"word","मिट्टी","soil","","nature","missing","ho","Please add the Ho word"
"word","हाथ","hand","ती","body","check","ho","Starter word — please confirm or correct"
"word","आँख","eye","मेद","body","check","ho","Starter word — please confirm or correct"
"word","कान","ear","लुतुर","body","check","ho","Starter word — please confirm or correct"
"word","पैर","foot","काटा","body","check","ho","Starter word — please confirm or correct"
"word","दाँत","tooth","","body","missing","ho","Please add the Ho word"
"word","दिल","heart","","body","missing","ho","Please add the Ho word"
"word","सिर","head","बोः","body","check","ho","Starter word — please confirm or correct"
"word","नाक","nose","","body","missing","ho","Please add the Ho word"
"word","मुँह","mouth","","body","missing","ho","Please add the Ho word"
"word","उँगली","finger","","body","missing","ho","Please add the Ho word"
"word","माँ","mother","एंगा","family","check","ho","Starter word — please confirm or correct"
"word","पिता","father","आपु","family","check","ho","Starter word — please confirm or correct"
"word","भाई","brother","","family","missing","ho","Please add the Ho word"
"word","बहन","sister","","family","missing","ho","Please add the Ho word"
"word","दादी","grandmother","","family","missing","ho","Please add the Ho word"
"word","दादा","grandfather","","family","missing","ho","Please add the Ho word"
"word","बच्चा","child","","family","missing","ho","Please add the Ho word"
"word","परिवार","family","","family","missing","ho","Please add the Ho word"
"word","दोस्त","friend","","family","missing","ho","Please add the Ho word"
"word","घर","house","ओड़ाः","place","check","ho","Starter word — please confirm or correct"
"word","गाँव","village","","place","missing","ho","Please add the Ho word"
"word","विद्यालय","school","","place","missing","ho","Please add the Ho word"
"word","खेत","field","","place","missing","ho","Please add the Ho word"
"word","भात","rice","मंडी","food","check","ho","Starter word — please confirm or correct"
"word","रोटी","bread","","food","missing","ho","Please add the Ho word"
"word","अंडा","egg","","food","missing","ho","Please add the Ho word"
"word","संतरा","orange","","food","missing","ho","Please add the Ho word"
"word","गाजर","carrot","","food","missing","ho","Please add the Ho word"
"word","दूध","milk","","food","missing","ho","Please add the Ho word"
"word","फल","fruit","","food","missing","ho","Please add the Ho word"
"word","सब्ज़ी","vegetable","","food","missing","ho","Please add the Ho word"
"word","खाना","food","","food","missing","ho","Please add the Ho word"
"word","किताब","book","","classroom","missing","ho","Please add the Ho word"
"word","पेंसिल","pencil","","classroom","missing","ho","Please add the Ho word"
"word","गेंद","ball","","classroom","missing","ho","Please add the Ho word"
"word","स्लेट","slate","","classroom","missing","ho","Please add the Ho word"
"word","कक्षा","class","","classroom","missing","ho","Please add the Ho word"
"word","शिक्षक","teacher","","classroom","missing","ho","Please add the Ho word"
"word","चित्र","picture","","classroom","missing","ho","Please add the Ho word"
"word","शब्द","word","","classroom","missing","ho","Please add the Ho word"
"word","अक्षर","letter","","classroom","missing","ho","Please add the Ho word"
"word","कहानी","story","","classroom","missing","ho","Please add the Ho word"
"word","बस","bus","","place","missing","ho","Please add the Ho word"
"word","साइकिल","bicycle","","place","missing","ho","Please add the Ho word"
"word","घड़ी","clock","","time","missing","ho","Please add the Ho word"
"word","सिक्के","coins","","classroom","missing","ho","Please add the Ho word"
"word","गोला","circle","","shape","missing","ho","Please add the Ho word"
"word","त्रिभुज","triangle","","shape","missing","ho","Please add the Ho word"
"word","वर्ग","square","","shape","missing","ho","Please add the Ho word"
"word","बड़ा","big","","describing","missing","ho","Please add the Ho word"
"word","छोटा","small","","describing","missing","ho","Please add the Ho word"
"word","ज़्यादा","more","","describing","missing","ho","Please add the Ho word"
"word","कम","less","","describing","missing","ho","Please add the Ho word"
"word","लंबा","long","","describing","missing","ho","Please add the Ho word"
"word","भारी","heavy","","describing","missing","ho","Please add the Ho word"
"word","लाल","red","","colour","missing","ho","Please add the Ho word"
"word","हरा","green","","colour","missing","ho","Please add the Ho word"
"word","पीला","yellow","","colour","missing","ho","Please add the Ho word"
"word","नीला","blue","","colour","missing","ho","Please add the Ho word"
"word","सफ़ेद","white","","colour","missing","ho","Please add the Ho word"
"word","काला","black","","colour","missing","ho","Please add the Ho word"
"word","आज","today","","time","missing","ho","Please add the Ho word"
"word","कल","tomorrow","","time","missing","ho","Please add the Ho word"
"word","सुबह","morning","","time","missing","ho","Please add the Ho word"
"word","रात","night","","time","missing","ho","Please add the Ho word"
"word","दिन","day","सिङगि","time","check","ho","Starter word — please confirm or correct"
"word","आओ","come","","action","missing","ho","Please add the Ho word"
"word","जाओ","go","","action","missing","ho","Please add the Ho word"
"word","देखो","look","","action","missing","ho","Please add the Ho word"
"word","सुनो","listen","","action","missing","ho","Please add the Ho word"
"word","बोलो","speak","","action","missing","ho","Please add the Ho word"
"word","गिनो","count","","action","missing","ho","Please add the Ho word"
"word","लिखो","write","","action","missing","ho","Please add the Ho word"
"word","पढ़ो","read","","action","missing","ho","Please add the Ho word"
"word","बैठो","sit","","action","missing","ho","Please add the Ho word"
"word","खड़े हो","stand up","","action","missing","ho","Please add the Ho word"
"word","दिखाओ","show","","action","missing","ho","Please add the Ho word"
"word","खेलो","play","","action","missing","ho","Please add the Ho word"
"word","मिलाओ","match","","action","missing","ho","Please add the Ho word"
"word","बनाओ","make","","action","missing","ho","Please add the Ho word"
"word","ताली बजाओ","clap","","action","missing","ho","Please add the Ho word"
"word","नमस्ते","hello","जोहार","greeting","check","ho","Starter word — please confirm or correct"
"word","धन्यवाद","thank you","","greeting","missing","ho","Please add the Ho word"
"word","बहुत अच्छा","very good","","greeting","missing","ho","Please add the Ho word"
"word","हाँ","yes","","greeting","missing","ho","Please add the Ho word"
"word","नहीं","no","","greeting","missing","ho","Please add the Ho word"
"word","क्या","what","","question","missing","ho","Please add the Ho word"
"word","कितने","how many","","question","missing","ho","Please add the Ho word"
"word","कहाँ","where","","question","missing","ho","Please add the Ho word"
"word","कौन","who","","question","missing","ho","Please add the Ho word"
"phrase","बैठ जाओ","Sit down","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","खड़े हो जाओ","Stand up","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","ध्यान से सुनो","Listen carefully","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","मेरे साथ बोलो","Say it with me","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","फिर से बोलो","Say it again","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","किताब खोलो","Open your book","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","चित्र देखो","Look at the picture","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","यह क्या है?","What is this?","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","कितने हैं?","How many are there?","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","गिनती करो","Count","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","स्लेट पर लिखो","Write on your slate","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","उँगली से दिखाओ","Show with your fingers","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","हाथ ऊपर करो","Raise your hand","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","अपना नाम बताओ","Tell me your name","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","बहुत अच्छा","Very good","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","फिर से कोशिश करो","Try again","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
"phrase","सही जवाब","Right answer","","teacher","missing","ho","Please write how this is said in Ho, and record it in the app"
